study_word,test,reference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,_ia_o,piano,,,,,0,14,14,4,,,,,77.9342761,77.9342761,77.9342761,0.015443,piano,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[3.5798492999747396],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,v_o_i_,violin,,,,,0,15,15,15,,,,,81.5152464,81.5152464,81.5152464,0.0030852,violin,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[3.645473299897276],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,c_s_i_n,cushion,,,,,0,16,16,3,,,,,85.1647525,85.1647525,85.1647525,0.0030206,cushion,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[2.728315900079906],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,a_p_e,apple,,,,,0,17,17,12,,,,,87.8978595,87.8978595,87.8978595,0.0028179,apple,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[2.345487100072205],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,d_g,dog,,,,,0,18,18,14,,,,,90.2477994,90.2477994,90.2477994,0.0027202,dog,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[2.7618302000919357],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,p_n,pen,,,,,0,19,19,6,,,,,93.0138701,93.0138701,93.0138701,0.0025975,pen,[-0.027142857142857142],[-0.30428571428571427],[1],[0],[0],[2.4461292000487447],['text_3'],sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (primed),,0.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non - primed),,0.45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,0.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayushi,e_e,eye,,,,,0,0,0,17,,,,,33.8594711,33.8594711,33.8594711,0.0072692,eye,,,,,,,,,,,,,
,_a_t_p ,laptop,,,,,0,1,1,8,,,,,40.4601144,40.4601144,40.4601144,0.001725,l,,,,,,,,,,,,,
,_a_e,vase,,,,,0,2,2,0,,,,,50.4589524,50.4589524,50.4589524,0.001807,vase,,,,,,,,,,,,,
,l_b,lab,,,,,0,3,3,11,,,,,54.2571779,54.2571779,54.2571779,0.0043774,lib,,,,,,,,,,,,,
,hi_to_y,history,,,,,0,4,4,9,,,,,60.2067467,60.2067467,60.2067467,0.0051986,history,,,,,,,,,,,,,
,a_p_e,apple,,,,,0,5,5,12,,,,,63.6723743,63.6723743,63.6723743,0.0035339,apple,,,,,,,,,,,,,
,b_t_l_,bottle,,,,,0,6,6,5,,,,,68.2731639,68.2731639,68.2731639,0.0028477,bottle,,,,,,,,,,,,,
,v_o_i_,violin,,,,,0,7,7,15,,,,,71.6561886,71.6561886,71.6561886,0.0032337,violin,,,,,,,,,,,,,
,_ia_o,piano,,,,,0,8,8,4,,,,,81.1203007,81.1203007,81.1203007,0.0035219,piano,,,,,,,,,,,,,
,_oo_,book,,,,,0,9,9,2,,,,,84.5534466,84.5534466,84.5534466,0.0051564,book,,,,,,,,,,,,,
,t_xt,text,,,,,0,10,10,16,,,,,86.61963,86.61963,86.61963,0.0056542,text,,,,,,,,,,,,,
,f_n,Fun,,,,,0,11,11,19,,,,,89.3858921,89.3858921,89.3858921,0.0067841,fan,,,,,,,,,,,,,
,t_g_r,tiger,,,,,0,12,12,1,,,,,95.4517494,95.4517494,95.4517494,0.003441,tiger,,,,,,,,,,,,,
,li_e,life,,,,,0,13,13,7,,,,,101.0343166,101.0343166,101.0343166,0.0032894,life,,,,,,,,,,,,,
,d_g,dog,,,,,0,14,14,14,,,,,103.635004,103.635004,103.635004,0.00156,dog,,,,,,,,,,,,,
,c_s_i_n,cushion,,,,,0,15,15,3,,,,,106.101926,106.101926,106.101926,0.0029422,cushion,,,,,,,,,,,,,
,h_ir,hair,,,,,0,16,16,10,,,,,109.7834535,109.7834535,109.7834535,0.0047049,hair,,,,,,,,,,,,,
,p_n,pen,,,,,0,17,17,6,,,,,112.216234,112.216234,112.216234,0.003646,pin,,,,,,,,,,,,,
,ca_,cat,,,,,0,18,18,13,,,,,114.3676578,114.3676578,114.3676578,0.0026496,cat,,,,,,,,,,,,,
,s_ac_e,space,,,,,0,19,19,18,,,,,117.9168925,117.9168925,117.9168925,0.0025804,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (primed),0.45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non - primed),0.3,priming score,0.15,,,,,,,,,,,,,,,,
,_oo_,book,,,,,0,0,0,2,,,,,33.2155116,33.2155116,33.2155116,0.007518,"book
",,,,,,,,,,,,,
Yashashvi,v_o_i_,violin,,,,,0,1,1,15,,,,,39.6328897,39.6328897,39.6328897,0.0029011,,,,,,,,,,,,,,
,e_e,eye,,,,,0,2,2,17,,,,,49.6481277,49.6481277,49.6481277,0.0160999,eye,,,,,,,,,,,,,
,l_b,lab,,,,,0,3,3,11,,,,,55.045951,55.045951,55.045951,0.0032598,lab,,,,,,,,,,,,,
,t_xt,text,,,,,0,4,4,16,,,,,59.0120286,59.0120286,59.0120286,0.004864,text,apple,,,,,,,,,,,,
,t_g_r,tiger,,,,,0,5,5,1,,,,,63.0965171,63.0965171,63.0965171,0.002845,tiger,book,,,,,,,,,,,,
,c_s_i_n,cushion,,,,,0,6,6,3,,,,,67.44451,67.44451,67.44451,0.0039828,cushion,cushion,,,,,,,,,,,,
,b_t_l_,bottle,,,,,0,7,7,5,,,,,72.3939184,72.3939184,72.3939184,0.0035577,bottle,vase,,,,,,,,,,,,
,hi_to_y,history,,,,,0,8,8,9,,,,,78.4118209,78.4118209,78.4118209,0.0030889,history,dog,,,,,,,,,,,,
,_ia_o,piano,,,,,0,9,9,4,,,,,83.3108335,83.3108335,83.3108335,0.0029819,piano,history,,,,,,,,,,,,
,f_n,Fun,,,,,0,10,10,19,,,,,89.9414332,89.9414332,89.9414332,0.0059431,fun,tiger,,,,,,,,,,,,
,h_ir,hair,,,,,0,11,11,10,,,,,93.4260656,93.4260656,93.4260656,0.0028237,hair,piano,,,,,,,,,,,,
,_a_e,vase,,,,,0,12,12,0,,,,,99.2417118,99.2417118,99.2417118,0.0034158,tale,cat,,,,,,,,,,,,
,s_ac_e,space,,,,,0,13,13,18,,,,,105.0910537,105.0910537,105.0910537,0.002402,,laptop,,,,,,,,,,,,
,a_p_e,apple,,,,,0,14,14,12,,,,,115.10656,115.10656,115.10656,0.0165379,apple,,,,,,,,,,,,,
,li_e,life,,,,,0,15,15,7,,,,,118.8228116,118.8228116,118.8228116,0.0028015,li,,,,,,,,,,,,,
,ca_,cat,,,,,0,16,16,13,,,,,128.4051797,128.4051797,128.4051797,0.0027557,cat,,,,,,,,,,,,,
,_a_t_p ,laptop,,,,,0,17,17,8,,,,,132.9542765,132.9542765,132.9542765,0.0029381,laptop,,,,,,,,,,,,,
,p_n,pen,,,,,0,18,18,6,,,,,139.1353242,139.1353242,139.1353242,0.0038369,pen,,,,,,,,,,,,,
,d_g,dog,,,,,0,19,19,14,,,,,142.5533146,142.5533146,142.5533146,0.0032009,dog,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (primed),0.45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non - primed),,0.35,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,0.1,,,,,,,,,,,,,,,,,,
,_a_e,vase,,,,,0,0,0,0,,,,,23.3327049,23.3327049,23.3327049,0.0069978,vase,"[-0.5071428571428571, -0.05]",,,,,,,,,,,,
Abinidy,a_p_e,apple,,,,,0,1,1,12,,,,,27.3000455,27.3000455,27.3000455,0.0016361,apple,[-0.05],,,,,,,,,,,,
,_oo_,book,,,,,0,2,2,2,,,,,30.0822553,30.0822553,30.0822553,0.0043052,book,[-0.05285714285714286],,,,,,,,,,,,
